food_name,energy_kcal,protein_g,fat_g,carbs_g,vitamins_total,category
Chinook Salmon Raw,709,78.9,41.3,0.0,59.777,Други
Rockfish Raw,172,35.1,2.6,0.0,6.91,Други
tilefish raw,371,67.6,8.9,0.0,16.356,Други
Scup Raw,174,31.3,4.5,0.0,9.849,Други
Sablefish приготвена,755,51.9,59.3,0.0,20.231,Други
Салата от риба тон,383,32.9,19.0,19.3,19.14,Риба и морски дарове
Coho сьомга се готви,255,34.7,11.8,0.0,15.813,Риба и морски дарове
Roe Raw,20,3.1,0.9,0.2,3.935,Други
Морски бас суров,125,23.8,2.6,0.0,5.306,Други
"Розова сьомга, приготвена",349,56.0,12.0,0.0,28.08,Риба и морски дарове
Сокетна сьомга се готви,493,82.1,17.3,0.0,43.078,Риба и морски дарове
Whitefish Raw,265,37.8,11.6,0.0,9.332,Други
Гренландски палто,760,58.6,56.4,0.0,9.167,Други
Северна щука се готви,350,76.5,2.7,0.0,24.281,Други
Сьомга сурова,824,80.9,53.1,0.0,73.98,Риба и морски дарове
готвена от турбот,388,65.4,12.0,0.0,17.386,Други
surimi,28,4.3,0.3,1.9,0.659,Други
Chinook сьомга се готви,711,79.2,41.2,0.0,48.865,Риба и морски дарове
mullet cooked,140,23.1,4.5,0.0,8.583,Други
chum сьомга сурова,3,0.6,0.1,0.0,0.69,Риба и морски дарове
Пеперуда сурова,47,5.5,2.6,0.0,1.899,Други
sea bass cooked,125,23.9,2.6,0.0,3.747,Други
Greenland Halibut Raw,759,58.6,56.5,0.0,12.574,Други
палто сурово,371,75.7,5.4,0.0,33.197,Други
Стърджън готви,184,28.2,7.0,0.0,16.971,Други
Филе за риба пържено,211,13.3,11.2,15.4,2.497,Риба и морски дарове
Дъгова пъстърва сурова,111,15.8,4.9,0.0,10.53,Риба и морски дарове
Pout Raw,278,58.6,3.2,0.0,9.275,Други
Rainbow Smeld се готви,35,6.4,0.9,0.0,1.011,Други
Monkfish Raw,22,4.1,0.4,0.0,1.283,Други
Пъстърва сурова,117,16.4,5.2,0.0,6.703,Риба и морски дарове
Shark Raw,37,5.9,1.3,0.0,1.655,Други
burbot raw,104,22.4,0.9,0.0,3.153,Други
Долфинфиш се готви,173,37.7,1.4,0.0,14.32,Други
crayfish cooked,25,5.0,0.4,0.0,1.08,Други
Dolphinfish Raw,173,37.7,1.4,0.0,14.995,Други
"костур, приготвен",54,11.4,0.5,0.0,2.402,Други
Куш сурово,106,23.2,0.8,0.0,4.446,Други
bluefin tuna raw,41,6.6,1.4,0.0,3.505,Други
"Млечна риба, приготвена",54,7.4,2.4,0.0,2.895,Риба и морски дарове
шаран суров,277,38.9,12.2,0.0,11.181,Други
Стърджън RAW,30,4.6,1.1,0.0,2.885,Други
Оранжев груб суров,22,4.6,0.2,0.0,1.207,Други
Сом пържена,199,15.7,11.6,7.0,3.009,Други
Кретка сурова,22,4.6,0.2,0.2,2.455,Други
Бас суров,90,14.9,2.9,0.0,3.442,Други
Карнатор се готви,109,19.4,3.0,0.0,3.247,Други
млечни риби сурови,42,5.8,1.9,0.0,2.419,Риба и морски дарове
змиорка сурова,375,37.6,23.8,0.0,22.122,Други
catfish raw,189,24.2,9.4,0.0,6.214,Други
Рибни пръчици,78,3.1,4.5,6.1,2.857,Други
Coho Salmon Raw,254,33.8,12.2,0.0,15.783,Други
"монашеска риба, приготвена",27,5.3,0.6,0.0,1.149,Риба и морски дарове
Жълто сготвен,546,86.6,19.6,0.0,37.264,Други
Жълтофин риба тон,37,8.2,0.2,0.0,6.929,Риба и морски дарове
Линг готвен,168,36.8,1.2,0.0,5.894,Други
Готвена змиорка,67,6.7,4.2,0.0,2.404,Други
Sablefish Raw,753,51.8,59.1,0.0,20.794,Други
Сьомга самородки,60,3.6,3.3,4.0,1.685,Риба и морски дарове
Yellowtail Raw,546,86.5,19.6,0.0,39.623,Други
Пеперуда се готви,47,5.5,2.6,0.0,1.89,Други
хайвер,42,3.9,2.9,0.6,1.236,Други
Pollock Raw,355,75.0,3.8,0.0,17.124,Други
"сом, приготвен",206,26.4,10.3,0.0,6.877,Други
whiting raw,83,16.8,1.2,0.0,2.319,Други
Розова сьомга сурова,404,65.2,14.0,0.0,32.734,Риба и морски дарове
Жълто фин риба тон сурова,31,6.9,0.1,0.0,5.912,Риба и морски дарове
Squerel Raw,230,20.8,15.6,0.0,14.328,Други
Turbot Raw,388,65.5,12.0,0.0,19.885,Други
Куш се готви,106,23.1,0.8,0.0,4.135,Други
Atlantic Croaker Raw,82,14.0,2.5,0.0,5.423,Други
гадно готвено,148,26.6,3.7,0.0,3.428,Други
Spot Raw,79,11.8,3.1,0.0,5.61,Други
Барабан,236,34.6,9.7,0.0,8.276,Други
раци сурова,3,0.6,0.048,0.0,0.548,Други
Приготвени плочки,441,73.5,14.1,0.0,15.099,Други
"синя рибка, приготвена",186,30.1,6.4,0.0,10.497,Други
Групър се готви,238,50.2,2.6,0.0,3.741,Други
Овчарче сурова,257,48.1,5.7,0.0,6.363,Други
Херинг Кипед,87,9.8,4.9,0.0,3.753,Други
grouper raw,238,50.2,2.6,0.0,3.935,Други
"Океан костур, приготвен",48,9.3,0.9,0.0,1.633,Други
Ling Raw,168,36.7,1.2,0.0,6.381,Други
Lingcod се готви,329,68.4,4.1,0.0,11.193,Други
Флорида Помпано RAW,184,20.7,10.6,0.0,5.576,Други
Скала приготвена,162,33.1,2.4,0.0,6.526,Други
"Мейтър, приготвен",247,39.9,8.6,0.0,8.471,Други
Sockeye Salmon Raw,562,84.4,22.2,0.0,44.645,Други
готва от мечове,182,24.9,8.4,0.0,13.848,Други
American Shad Raw,362,31.2,25.3,0.0,20.778,Други
сардин консервирани в масло,310,36.7,17.1,0.0,12.696,Мазнини
Консервирана консерви в масло,8,1.2,0.4,0.0,1.224,Мазнини
Сьомга консервирана,520,79.1,20.3,0.0,36.09,Риба и морски дарове
сардини в доматен сос консервирани,165,18.6,9.3,0.5,6.97,Риба и морски дарове
Консервирани сьомга на Sockeye,563,79.5,24.9,0.0,36.118,Риба и морски дарове
консервирана риба тон,102,18.9,2.4,0.0,6.045,Риба и морски дарове
розова сьомга консервирана,530,80.9,20.4,0.0,34.033,Риба и морски дарове
cod canned,328,71.0,2.7,0.0,15.675,Други
Източна стрида консерви,110,11.4,4.0,6.3,12.754,Други
CHUM SALMON CANNED,520,79.1,20.3,0.0,30.072,Други
Тон за консерви в масло,331,47.2,14.4,0.0,26.702,Риба и морски дарове
диви розови океани за сьомга,320,0.0,16.0,0.0,0.0,Риба и морски дарове
shrimp canned,128,26.1,1.7,0.0,7.851,Други
Alaska King Crab Raw,144,31.5,1.0,0.0,14.975,Други
Скалопи пържени,64,2.6,3.2,6.4,0.466,Други
"Скитини, приготвени",7,1.3,0.092,0.013,0.577,Други
миди пържени,19,1.3,1.0,1.0,1.404,Други
alaska king crab cooked,130,25.9,2.1,0.0,12.815,Други
Сътредени гребени,11,2.1,0.058,0.5,0.419,Други
пържени калмари,140,14.4,6.0,6.2,6.526,Други
стриди сурови,41,4.7,1.2,2.5,5.677,Други
абалон,89,14.5,0.6,5.1,9.584,Други
Queen Crab Raw,25,5.2,0.3,0.0,3.054,Други
Whelk готви,78,13.5,0.2,4.4,3.085,Други
приготвена стрида,41,4.7,1.2,2.5,4.883,Други
Източна стрида се готви,8,0.7,0.2,0.7,1.213,Други
"Сини миди, приготвени",344,47.6,9.0,14.8,37.126,Други
Октопод суров,23,4.2,0.3,0.6,2.815,Други
"Борян омар, приготвен",233,43.0,3.2,5.1,12.673,Други
Сини миди сурови,129,17.9,3.4,5.5,16.679,Други
"Кралицата, приготвена",98,20.2,1.3,0.0,9.283,Други
Dungeness Crab Cooked,140,28.3,1.6,1.2,10.377,Други
Dungeness Crab Raw,140,28.4,1.6,1.2,12.062,Други
пържени скариди,52,1.3,3.2,4.8,0.877,Други
Скариди сурови,4,0.7,0.023,0.041,0.653,Други
blue crab cooked,71,15.2,0.6,0.0,7.846,Други
Имитация на скариди,29,3.5,0.4,2.6,0.359,Други
conch baked,165,33.4,1.5,2.2,9.967,Други
калмари сурови,26,4.4,0.4,0.9,2.594,Други
scallop raw,10,1.8,0.091,0.5,0.507,Други
Омар суров,116,24.8,1.1,0.0,6.341,Други
Имитация на гребена,28,3.6,0.1,3.0,0.416,Други
Син рак суров,18,3.8,0.2,0.018,1.631,Други
Whelk Raw,39,6.7,0.1,2.2,1.843,Други
Бодлив омар суров,234,43.1,3.2,5.1,14.341,Други
миди консервирани,227,38.8,2.5,9.4,3.711,Други
"Омар, приготвен",134,28.5,1.3,0.0,7.329,Други
Източна стриди пържена,29,1.3,1.8,1.7,1.017,Други
миди сурови,195,33.3,2.2,8.1,3.09,Други
Октопод се готви,139,25.3,1.8,3.7,12.779,Други
Източна стрида RAW,8,0.7,0.2,0.8,1.328,Други
пържено стриди,61,2.1,3.0,6.7,1.83,Други
Стърджън пуши,49,8.8,1.2,0.0,3.801,Други
Chinook сьомга пушеше,159,24.9,5.9,0.0,10.084,Риба и морски дарове
Сиско пушеше,50,4.6,3.4,0.0,1.228,Други
Хадок пуши,33,7.1,0.3,0.0,2.336,Други
Уайлата рибка пушеше,147,31.8,1.3,0.0,4.74,Други
Червена сьомга Sockeye Filets пушени,373,65.5,12.3,0.0,31.113,Риба и морски дарове
Eggnog,224,11.6,10.6,20.4,6.566,Други
Бирена светлина,96,0.8,0.0,5.4,1.698,Други
Бира Budweiser,12,0.1,0.0,0.9,0.0,Алкохолни напитки
Weizenbier Erdinger,220,0.0,18.0,0.0,0.0,Други
Бирена светлина Budweiser,9,0.066,0.0,0.4,0.0,Други
бира,142,1.5,0.0,11.7,2.172,Алкохолни напитки
Коренна бира,202,0.0,0.0,52.3,0.0,Алкохолни напитки
Whiskey Sour Mix,26,0.051,0.072,6.3,0.991,Други
уиски кисело,158,0.0,0.0,13.9,1.88,Други
Изгрев текила,232,0.6,0.2,23.8,41.51,Други
Дайкири,112,0.035,0.036,4.2,1.333,Други
Пина Колада,245,0.6,2.7,32.0,7.263,Други
уиски,58,0.0,0.0,0.1,0.214,Други
Ром,49,0.0,0.0,0.0,0.058,Други
Водка Smirnoff,13,0.0,0.4,2.0,0.0,Други
Кафе ликьор,96,0.041,0.038,13.8,0.162,Напитки
Джин,53,0.0,0.0,0.0,0.0,Други
Десертно вино сладко,165,0.2,0.0,14.1,0.363,Алкохолни напитки
бяло вино chenin blanc,118,0.1,0.0,4.9,0.0,Алкохолни напитки
Gamay Red Wine,115,0.1,0.0,3.5,128.6,Други
Късно реколта бяло вино,172,0.1,0.0,20.6,119.8,Алкохолни напитки
Бяло вино на Gewurztraminer,119,0.1,0.0,3.8,0.0,Алкохолни напитки
Бургундско червено вино,172,0.1,0.0,7.4,0.0,Алкохолни напитки
Червено вино Zinfandel,129,0.1,0.0,4.2,0.0,Алкохолни напитки
Мюлер Тургау бяло вино,112,0.1,0.0,5.2,129.2,Алкохолни напитки
Mourvedre Red Wine,129,0.1,0.0,3.9,126.1,Други
маса за маса,123,0.1,0.0,4.0,0.394,Други
винена светлина,73,0.1,0.0,1.7,0.271,Други
Бяло вино,121,0.1,0.0,3.8,0.523,Алкохолни напитки
дребно червено вино Сира,125,0.1,0.0,3.9,126.7,Алкохолни напитки
не алкохолно вино,2,0.1,0.0,0.3,0.203,Алкохолни напитки
Пино ноар червено вино,121,0.1,0.0,3.4,0.0,Алкохолни напитки
Pinot Gris Grigio Бяло вино,122,0.1,0.0,3.0,0.0,Алкохолни напитки
Ризлинг бяло вино,118,0.1,0.0,5.5,0.0,Алкохолни напитки
Барбера червено вино,170,0.1,0.0,5.6,0.0,Алкохолни напитки
Червено вино на Lemberger,118,0.1,0.0,3.6,127.9,Алкохолни напитки
Мерло червено вино,122,0.1,0.0,3.7,0.603,Алкохолни напитки
Червено вино Sangiovese,126,0.1,0.0,3.9,0.0,Алкохолни напитки
Совиньон Блан бяло вино,119,0.1,0.0,3.0,0.0,Алкохолни напитки
Червено вино на Сира,122,0.1,0.0,3.8,0.0,Алкохолни напитки
Червено вино на Каринян,370,0.4,0.0,12.0,0.0,Алкохолни напитки
Пино блан бяло вино,119,0.1,0.0,2.9,0.0,Алкохолни напитки
Семилон бяло вино,121,0.1,0.0,4.6,128.1,Алкохолни напитки
Десертно вино сухо,760,1.0,0.0,58.4,364.129,Алкохолни напитки
Червено вино,125,0.1,0.0,3.8,0.56,Алкохолни напитки
Каберне Совиньон червено вино,166,0.1,0.0,5.2,0.0,Алкохолни напитки
Мускат бяло вино,123,0.1,0.0,7.8,0.0,Алкохолни напитки
готвене вино,2,0.028,0.0,0.3,0.259,Алкохолни напитки
Шардоне бяло вино,168,0.1,0.0,4.3,0.523,Алкохолни напитки
червено вино на Claret,122,0.1,0.0,4.4,127.0,Алкохолни напитки
Райс,197,0.7,0.0,7.4,0.0,Други
изпаряване на бяло вино,121,0.1,0.0,3.3,127.9,Алкохолни напитки
Каберне франк червено вино,122,0.1,0.0,3.6,0.0,Алкохолни напитки
Шоколадова глазура,81,0.2,3.6,13.0,0.606,Десерти и сладки
Бяла захар,19,0.0,0.0,5.0,0.099,Други
Замяна на яйца,115,24.0,0.0,4.8,10.973,Други
Агаве сироп,21,0.025,0.081,5.3,0.0,Други
Splenda подсладител,336,0.0,0.0,91.2,0.0,Други
Екстракт от ванилия,12,0.0,0.069,0.5,0.244,Други
яйчен жълтък изсъхна,27,1.3,2.3,0.054,1.086,Други
гранулирана захар,16,0.0,0.0,4.2,0.06,Други
Печене шоколад,145,3.7,15.2,8.7,0.823,Десерти и сладки
Пекари мая,18,1.4,0.3,3.1,3.545,Други
фондан,106,0.0,0.009,26.4,0.124,Други
кафява захар,16,0.024,0.0,4.1,0.068,Други
Бяло измръзване сухо,768,4.8,0.0,196.4,2.426,Други
кленова захар,42,0.036,0.061,10.9,0.124,Други
Фруктозен подсладител,15,0.0,0.0,4.2,0.0,Други
захарен подсладител,360,0.9,0.0,89.1,0.0,Други
Яйжен белтък суров,17,3.6,0.063,0.2,0.451,Други
Турбинадо захар,18,0.0,0.0,4.6,0.0,Други
ванилова глазура,1931,0.0,75.0,313.7,9.904,Други
подсладител за аспартам,365,2.2,0.0,89.1,0.0,Други
Яйце сурово,80,7.0,5.3,0.4,2.109,Яйца
ананас топинг,860,0.3,0.3,225.8,11.091,Други
Яйжен белтък изсъхна,26,5.8,0.087,0.3,0.586,Други
яйчен жълтък суров,55,2.7,4.5,0.6,1.34,Други
сода за хляб,0,0.0,0.0,0.0,0.0,Зърнени и тестени
Изсушено яйце,30,2.4,2.2,0.047,0.852,Яйца
Ягодов топинг,53,0.014,0.096,13.9,3.302,Други
Пекарите дрожди суха,13,1.6,0.3,1.6,2.85,Други
Бадемова паста,1040,20.4,63.0,108.5,35.751,Ядки и семена
Крем от татар,8,0.0,0.0,1.8,0.0,Други
суха смес,631,17.7,7.3,120.7,7.88,Други
Прах за заместване на яйца,126,15.7,3.7,6.2,2.571,Други
желатин на прах,17,4.3,0.086,0.0,0.192,Други
Тапиока перли,544,0.3,0.093,134.8,0.308,Други
бакпулвер,2,0.0,0.0,1.3,0.0,Други
яйце варено,93,7.5,6.4,0.7,2.078,Яйца
просо брашно,444,12.8,5.1,86.9,9.779,Зърнени и тестени
Тритикале брашно,439,17.1,2.4,95.1,8.912,Зърнени и тестени
Царевично брашно бяло,414,9.6,4.2,87.3,3.178,Зърнени и тестени
Оризо брашно кафяво,574,11.4,4.4,120.8,16.456,Зърнени и тестени
сорго брашно,437,9.5,4.0,93.7,8.851,Зърнени и тестени
Цяло зърно от царевица,442,9.9,4.4,93.8,6.593,Други
Царевична каша бяло,581,11.2,2.7,124.7,2.805,Други
ечемично брашно,511,15.5,2.4,110.3,11.69,Зърнени и тестени
Семена за семена от шафран,97,10.1,0.7,13.8,2.422,Ядки и семена
сусамово брашно,658,38.5,46.4,33.3,24.473,Зърнени и тестени
пълнозърнесто пшенично брашно,408,15.9,3.0,86.4,8.891,Зърнени и тестени
царевично брашно жълто,422,8.1,4.5,89.9,4.282,Зърнени и тестени
царевично брашно пълнозърнесто зърно,422,8.1,4.5,89.9,4.327,Зърнени и тестени
Памучно брашно с ниска мазнина,94,14.1,0.4,10.2,2.816,Зърнени и тестени
брашно от слънчогледово семе,13,1.9,0.013,1.4,0.751,Зърнени и тестени
сусамово хранене,160,4.8,13.6,7.4,5.285,Ядки и семена
брашно от жълъди,626,9.4,37.7,68.3,5.6,Зърнени и тестени
Оризо брашно бяло,578,9.4,2.2,126.6,6.572,Зърнени и тестени
сусамово брашно с ниска мазнина,94,14.2,0.5,10.0,5.185,Зърнени и тестени
Картофено брашно,571,11.0,0.5,133.0,14.603,Зърнени и тестени
царевична каша жълта,581,11.2,2.7,124.7,2.857,Други
ръжено брашно,364,10.0,1.4,78.2,2.994,Зърнени и тестени
Стрелово брашно,457,0.4,0.1,112.8,0.288,Зърнени и тестени
брашно от нахут,356,20.6,6.2,53.2,4.34,Зърнени и тестени
пшенично брашно,455,12.9,1.2,95.4,9.847,Зърнени и тестени
царевично нишесте,488,0.3,0.03,116.8,0.0,Други
КАРОБА КРАЙ,13,0.3,0.061,5.3,0.477,Други
Брахо с елда,402,15.1,3.7,84.7,9.779,Други
Пекан пай,503,6.0,27.1,63.7,2.424,Други
Ябълков пай,331,3.0,15.6,46.4,4.107,Други
ванилова вафла пай кори,935,6.5,63.7,88.4,11.221,Други
Шоколадова пай кора,881,11.1,40.8,117.4,10.527,Десерти и сладки
Apple Strudel,195,2.3,8.0,29.2,2.838,Други
Шоколадова торта за закуска,200,1.8,8.0,30.2,2.37,Десерти и сладки
ПРОКЛЕН ПЕЧЕН ПЕЙ,404,3.8,20.6,54.5,6.339,Други
тиквен пай,316,7.0,14.4,40.9,5.254,Други
царевична торта,35,0.7,0.2,7.5,0.835,Десерти и сладки
Снек за гъба,157,1.5,4.8,26.9,1.596,Други
Датски сладкиш с ядки,280,4.6,16.4,29.7,4.213,Десерти и сладки
Шоколадов крем пай,301,2.6,19.2,33.3,1.318,Десерти и сладки
Ангелска храна за храна,72,1.7,0.2,16.2,0.573,Други
Пай с лимон меренга,362,4.8,16.4,49.7,6.097,Други
Датски сладкиш с канела,349,4.8,16.7,46.9,6.12,Десерти и сладки
канелена кафета,238,3.9,13.3,26.6,2.0,Напитки
чийзкейк,257,4.4,18.0,20.4,2.073,Други
Fruitcake,139,1.2,3.9,26.5,1.145,Други
яйчен крем,293,14.2,12.9,31.0,3.703,Други
пай с кайма,477,4.3,17.8,79.2,12.745,Месо и месни продукти
Жълта торта с шоколадова глазура,546,4.6,25.6,79.7,8.121,Десерти и сладки
Датски сладкиш с плодове,335,4.8,15.9,45.1,4.657,Плодове
Бяла торта с кокосово глазура,399,4.9,11.5,70.8,2.156,Десерти и сладки
Датски сладкиш със сирене,353,5.8,24.6,28.7,6.469,Млечни продукти
Греъм крекер пай кора,917,9.3,45.4,117.7,10.558,Други
боровинка пай,360,4.0,17.5,49.2,3.488,Други
Жълта торта с ванилова глазура,239,2.2,9.3,37.6,0.725,Десерти и сладки
пай кора,121,1.5,8.0,10.9,1.09,Други
Шоколадова торта с шоколадова глазура,537,4.8,27.7,72.9,7.774,Десерти и сладки
Торта за кафе сирене,258,5.3,11.6,33.7,1.227,Млечни продукти
Пай от ванилов крем,350,6.0,18.1,41.1,3.742,Други
Торта за ананас,367,4.0,13.9,58.1,3.667,Десерти и сладки
прасковен пай,262,2.2,11.7,38.5,2.826,Други
Плодов ковчегек,156,2.6,5.1,25.8,2.181,Плодове
торта с лири,116,1.7,6.0,14.6,0.927,Десерти и сладки
Паунд торта хляб,215,3.9,9.6,28.2,3.849,Зърнени и тестени
Бяла торта,264,4.0,9.2,42.3,1.883,Десерти и сладки
кафе торта с шоколадова глазура,298,4.5,9.7,48.4,1.383,Напитки
Торта с пуканки,38,1.0,0.3,8.0,0.963,Десерти и сладки
Бананов крем пай,3190,52.2,161.3,390.2,47.584,Плодове
Печен ябълков пай McDonalds,91,0.9,4.4,12.3,10.554,Други
ПОМЕТНА ПАЛА,187,4.6,2.7,36.4,1.673,Други
Жълта торта,245,3.6,9.9,36.0,1.834,Десерти и сладки
късометраж,98,1.7,4.0,13.7,1.058,Други
черешов пай,486,5.0,22.0,69.3,4.924,Други
Холандски ябълков пай,397,3.0,15.8,61.0,11.182,Други
Шоколадова торта,352,5.0,14.3,50.7,1.977,Десерти и сладки
ружа,64,0.4,0.033,16.3,0.168,Други
Захарна ябълка,72,1.6,0.2,18.2,29.283,Плодове
тофи,67,0.1,3.9,7.8,0.684,Други
ванилов фъдж с ядки,123,0.8,3.9,21.1,0.596,Други
Шоколадово покритие с фъстъци,21,0.5,1.3,2.0,0.532,Десерти и сладки
карамел с шоколадово покритие с ядки,66,1.3,2.9,8.5,1.339,Десерти и сладки
Джинджифил,263,2.9,12.1,36.4,2.133,Други
Роло Нестле,24,0.009,1.0,0.2,0.0,Други
ванилов фъдж,108,0.3,1.5,23.2,0.516,Други
Халава,328,8.7,15.1,42.3,2.749,Други
Пралин,189,1.3,10.1,23.2,0.887,Други
Бар с плодов сок,67,0.9,0.089,15.6,7.794,Плодове
Фъстък чупливо,138,2.1,5.4,20.2,1.799,Други
Butterscotch,21,0.079,0.2,4.8,0.49,Други
Шоколадови кафени зърна,155,2.1,9.4,15.6,0.44,Напитки
Нугат с бадеми,56,0.5,0.2,12.9,0.771,Ядки и семена
КАРОБ,135,2.0,7.8,14.1,1.227,Други
Фъстък от фъстъчено масло,62,0.6,1.1,12.4,0.948,Мазнини
Бадеми с захарно покритие,17,0.4,0.6,2.4,0.778,Ядки и семена
Шоколадово покритие с ружа,118,1.1,4.7,19.0,0.772,Десерти и сладки
стафиди шоколадово покритие,390,4.1,14.8,68.4,1.693,Десерти и сладки
дъвка без захар,5,0.0,0.013,1.9,0.0,Други
дъвка,11,0.0,0.032,2.9,0.0,Други
Шоколадов сироп,109,0.8,0.4,25.4,0.679,Десерти и сладки
Шоколадов сироп,67,0.9,1.7,12.0,0.967,Десерти и сладки
m ms млечен шоколад Марс,207,1.8,8.9,29.9,0.989,Десерти и сладки
Млечен шоколад с бадеми,216,3.7,14.1,21.9,2.369,Ядки и семена
Шоколадов фъдж,70,0.4,1.8,13.0,0.499,Десерти и сладки
Млечен шоколад с оризова зърнена култура,0,0.0,0.0,0.0,0.0,Десерти и сладки
M MS Peanut Chocolate Mars,93,1.7,4.7,10.9,1.656,Други
Тъмен шоколад,165,1.5,9.7,18.0,0.755,Десерти и сладки
Шоколадов полусладък,806,7.1,50.4,107.4,1.719,Десерти и сладки
След осем монетни дворове,36,0.1,1.0,6.7,0.0,Други
Млечен шоколад,37,0.5,2.1,4.2,0.53,Десерти и сладки
Бял шоколад,162,1.8,9.6,17.8,1.332,Десерти и сладки
Шоколад,208,1.6,14.0,24.8,0.773,Десерти и сладки
Twix Mars,146,1.4,7.2,18.8,1.136,Други
Kit Kat Nestle,62,0.7,3.3,7.6,0.512,Други
Snickers Mars,280,4.3,13.6,35.1,4.16,Други
Млечен път Марс,264,2.3,10.0,41.3,1.551,Други
Клиф бар,235,10.0,4.0,44.5,66.02,Други
капки на венците,18,0.0,0.042,4.4,0.0,Други
Skittles Wild Berry Mars,249,0.1,2.6,56.3,41.6,Други
Skittles Original Mars,251,0.1,2.7,56.3,41.719,Други
Skittles Tropical Mars,251,0.1,2.7,56.3,41.6,Други
плодова кожа,52,0.029,0.4,12.0,17.129,Плодове
Тафи,60,0.087,0.5,13.7,0.272,Други
Eisbonbons Mac Iver,23,0.0,0.0,0.0,0.0,Други
карамели,39,0.5,0.8,7.8,0.471,Други
твърди бонбони,24,0.0,0.067,5.9,0.269,Други
медузи,4,0.0,0.043,1.0,0.344,Други
Жели,56,0.005,0.069,14.7,0.646,Други
Пшеничен зародиш се препече,115,8.7,3.2,14.9,9.898,Други
Хрупкав кафяв ориз,124,2.3,1.1,27.5,0.958,Други
Брански люспи Асда,109,0.0,0.6,0.2,0.0,Други
Амарант готви,251,9.3,3.9,46.0,1.506,Други
Triticale,645,25.1,4.0,138.5,8.4,Други
ечемик суров,42,1.2,0.1,9.3,0.897,Други
Булгур сухо,171,6.1,0.7,37.9,3.631,Други
Памучни ядки печени,754,48.6,54.1,32.6,21.6,Други
оризови трици,373,15.8,24.6,58.6,62.979,Други
chapati roti индийски хляб,491,7.0,2.5,0.089,0.0,Зърнени и тестени
Киноа готвена,222,8.1,3.6,39.4,2.684,Други
dar vida швейцарски оригинал,116,0.0,3.1,0.5,0.0,Други
Теф се готви,255,9.8,1.6,50.0,3.072,Други
Кускус сухо,650,22.1,1.1,134.0,8.859,Други
weetabix weetabix,2078,0.0,11.5,0.0,0.0,Други
"Овесени трици, приготвени",88,7.0,1.9,25.1,1.312,Други
"елда, приготвена",155,5.7,1.0,33.5,2.763,Други
"просо, подпухнало",74,2.7,0.7,16.8,1.324,Други
овес Bran Raw,23,1.3,0.5,4.9,6.796,Други
Маслото от пуканки изскочи,64,0.8,4.8,5.0,0.958,Мазнини
Камут се готви,251,11.1,1.6,52.4,5.077,Други
пшенични трици,125,9.0,2.5,37.4,11.515,Други
сирене пуканки,58,1.0,3.7,5.7,0.63,Млечни продукти
Крубчета на стафиди на kelloggs,90,1.9,0.5,21.2,0.0,Други
Кускус готви,176,6.0,0.3,36.5,2.609,Други
Multigraine Cheerios General Mills,4,0.038,0.005,1.0,0.0,Други
Булгур се готви,151,5.6,0.4,33.8,2.883,Други
Въздухът от пуканки изскочи,31,1.0,0.4,6.2,0.744,Снаксове
Теф суров,708,25.7,4.6,141.1,10.73,Други
изписано готвено,246,10.7,1.6,51.3,6.053,Други
просо сурова,756,22.0,8.4,145.7,13.627,Други
Пуканки не са незабравили,106,3.1,1.2,20.9,0.819,Снаксове
"Цяла пшеница, приготвена",150,4.8,1.0,33.2,3.841,Други
пшеница покълна,214,8.1,1.4,45.9,7.823,Други
Цяла пшеница суха,96,3.1,0.6,21.1,2.532,Други
Карамелни пуканки,122,1.1,3.6,22.4,1.339,Снаксове
Пшеница подпухна,44,1.8,0.1,9.6,4.925,Други
Roggenmischbrot Sonnenblumenkerne Aldi,82,0.0,3.1,0.0,0.0,Други
пшеничен зародиш,112,7.2,3.0,16.1,4.087,Други
Микровълнови пуканки,465,7.3,26.3,49.8,5.352,Снаксове
"просо, приготвено",207,6.1,1.7,41.2,3.228,Други
Kamut Raw,627,27.3,4.1,130.9,16.535,Други
пшенична дурум,651,26.3,4.7,136.6,16.554,Други
сорго,651,21.7,6.3,143.3,6.4,Други
Бяла пшеница,657,21.7,3.3,145.7,13.847,Други
ръж,571,17.5,2.8,128.2,12.628,Други
Изписано сурово,588,25.4,4.2,122.1,16.493,Други
елда сурова,41,1.6,0.4,8.6,1.004,Други
медени мелници на Cereali,104,0.0,2.0,3.0,0.0,Други
ечемик се готви,193,3.5,0.7,44.3,3.9,Други
овес,39,1.7,0.7,6.6,0.269,Други
Amaranth Raw,37,1.4,0.7,6.5,0.85,Други
СЕМОЛИНА,601,21.2,1.8,121.6,14.3,Други
Киноа суха,221,8.5,3.6,38.5,3.7,Други
пшеница се раздробява,155,5.2,1.0,36.2,7.753,Други
Cattail,5,0.2,0.0,1.0,0.438,Други
Фъстъчен гранола бар,116,2.4,5.7,15.0,2.116,Други
вид ванилов блубер,49,0.0,1.4,0.9,0.0,Други
кокосов гранола бар,150,1.5,9.1,15.6,0.513,Други
Бадемов гранола бар,119,1.8,6.1,14.9,0.317,Ядки и семена
Шоколадов чип гранола бар,105,1.8,3.9,17.3,0.518,Десерти и сладки
Fruit Granola Bar,82,1.4,0.2,18.6,1.028,Други
Granola Bar,99,2.1,4.2,13.5,1.256,Други
фъстъчен бар,209,6.2,13.5,19.0,5.375,Други
